,ds,Year,Month,y,Barnet Vale,Burnt Oak,Childs Hill,Colindale North,Colindale South,Cricklewood,East Barnet,East Finchley,Edgware,Edgwarebury,Finchley Church End,Friern Barnet,Garden Suburb,Golders Green,Hendon,High Barnet,Mill Hill,Totteridge and Woodside,Underhill,West Finchley,West Hendon,Whetstone,Woodhouse,Brunswick Park
102,2019-07,2019,7,280,17,10,18,10,4,16,11,9,8,5,19,15,18,15,24,9,9,10,4,8,12,18,7,4
103,2019-08,2019,8,227,14,9,17,16,1,8,6,10,11,3,14,8,7,10,18,9,17,6,4,9,6,8,9,7
104,2019-09,2019,9,270,10,15,19,4,4,10,6,15,14,6,24,14,6,18,19,9,12,11,5,6,10,14,11,8
105,2019-10,2019,10,274,11,14,10,11,3,7,13,3,17,7,12,17,6,14,20,18,12,14,10,17,14,12,5,7
106,2019-11,2019,11,307,19,17,14,14,7,7,11,15,17,10,11,15,13,14,14,9,17,16,4,10,20,15,10,8
107,2019-12,2019,12,346,17,20,16,12,8,9,18,19,20,11,10,13,9,9,22,8,15,15,11,15,17,20,14,18
108,2020-01,2020,1,280,11,16,17,10,4,11,8,8,14,7,18,10,9,9,20,15,25,7,8,10,14,6,10,13
109,2020-02,2020,2,281,12,11,14,15,4,14,9,12,19,9,16,15,14,20,14,7,11,8,8,14,10,9,6,10
110,2020-03,2020,3,258,8,15,12,11,2,6,6,11,15,7,16,15,8,21,14,8,16,7,12,12,8,10,10,8
111,2020-04,2020,4,129,3,4,10,4,4,9,5,1,7,5,6,5,3,9,10,2,13,3,6,4,6,3,3,4
112,2020-05,2020,5,160,8,7,5,5,9,13,5,7,6,4,8,7,6,7,14,6,9,5,1,3,12,7,2,4
113,2020-06,2020,6,166,13,8,13,9,3,9,9,3,6,4,8,6,6,8,14,3,6,4,3,3,7,10,8,3
114,2020-07,2020,7,186,7,7,18,3,4,14,4,5,16,3,10,9,5,5,15,5,7,7,3,9,4,11,9,6
115,2020-08,2020,8,238,10,7,20,9,6,6,4,5,16,4,19,9,11,20,21,13,15,10,4,5,9,6,0,9
116,2020-09,2020,9,254,10,11,10,7,9,6,8,10,12,5,19,15,16,18,22,12,8,7,3,12,8,7,14,5
117,2020-10,2020,10,300,10,7,16,12,8,8,9,14,15,8,26,20,20,20,16,9,13,11,7,9,8,16,6,12
118,2020-11,2020,11,300,14,11,7,25,17,10,12,8,16,6,16,15,7,11,21,13,15,7,10,16,6,10,19,8
119,2020-12,2020,12,212,9,10,15,8,6,4,3,10,12,6,14,11,8,11,22,7,8,7,7,12,8,5,3,6
120,2021-01,2021,1,193,6,10,13,5,7,5,6,10,4,5,19,10,4,10,15,8,8,6,3,14,10,2,2,11
121,2021-02,2021,2,184,4,8,12,6,6,4,2,7,9,3,9,12,2,14,24,2,8,9,6,13,11,4,7,2
122,2021-03,2021,3,271,10,9,15,17,14,8,9,12,17,4,26,8,11,21,29,8,6,7,5,9,3,7,8,8
123,2021-04,2021,4,202,10,14,9,17,5,4,5,10,6,6,5,8,7,9,26,9,10,6,2,7,9,7,3,8
124,2021-05,2021,5,151,5,11,8,11,2,6,11,4,9,1,14,5,4,14,10,5,3,0,7,5,5,4,4,3
125,2021-06,2021,6,187,4,5,16,8,4,15,6,11,7,4,14,8,8,7,13,7,6,4,2,11,9,5,5,8
126,2021-07,2021,7,155,3,8,15,7,4,6,6,13,4,0,14,6,6,7,13,3,7,3,2,8,13,1,2,4
127,2021-08,2021,8,165,6,5,19,8,5,9,5,8,4,2,10,7,9,6,16,8,7,3,6,8,4,6,1,3
